survey,loc_id,benthic_feeder,pelagic_feeder,surface_feeder,gu,sandeels_presence,fish_presence,velocity,proportion,npoints,tides
13,9,0,0,0,0,0,0,1.9435516,1.49527476,25,ebb
14,18,0,0,0,0,0,0,0.14979593,2.352491663,83,ebb
15,1,0,0,0,0,0,0,0.305865786,2.017084984,64,flood
15,10,0,0,0,0,0,0,1.182323865,1.643855865,37,flood
15,11,0,0,0,0,0,0,1.140826111,1.620676178,45,flood
15,12,0,0,0,0,0,0,0.704073604,1.718171,49,flood
15,13,0,0,0,0,0,0,0.174500557,1.758439841,44,flood
15,14,0,0,0,0,0,0,0.274630543,1.900281476,42,flood
15,15,0,0,0,0,0,0,0.30050983,1.746719745,47,flood
15,16,0,0,0,0,0,0,0.096770642,2.111729875,72,flood
15,17,0,0,0,0,0,0,0.187879632,2.319272078,103,flood
15,18,0,0,0,0,0,0,0.361976984,2.0673368,85,flood
15,19,0,0,0,0,0,0,0.286781919,3.229016603,68,flood
15,2,0,0,0,0,0,0,0.42107299,1.687096609,69,flood
15,20,0,0,0,0,0,0,0.211738271,3.586626621,66,flood
15,21,0,0,0,0,0,0,0.137463865,3.985132459,61,flood
15,22,0,0,0,0,0,0,0.337143221,3.520063905,42,flood
15,23,0,0,0,0,0,0,0.32897182,3.530747867,30,flood
15,24,0,0,0,0,0,0,0.279212036,3.407854227,22,flood
15,25,0,0,0,0,0,0,0.239664963,3.298394368,19,flood
15,26,0,0,0,0,0,0,0.238244067,3.540076278,18,flood
15,27,0,0,0,0,0,0,0.059822289,3.463953471,17,flood
15,28,0,0,0,0,0,0,0.04946707,3.478870941,17,flood
15,29,0,0,0,0,0,0,0.045108343,3.548921647,17,flood
15,3,0,0,0,0,0,1,0.508232519,1.534867711,83,flood
15,30,0,0,0,0,0,0,0.058578788,3.5596605,18,flood
15,31,0,0,0,0,0,0,0.094710613,3.550813238,21,flood
15,32,0,0,0,0,0,0,0.151005223,3.408592385,26,flood
15,33,0,0,0,0,0,0,0.200431687,3.416965077,39,flood
15,34,0,0,0,0,0,0,0.175450073,3.69129475,44,flood
15,35,0,0,0,0,0,0,0.127770642,4.466298038,52,flood
15,36,0,0,0,0,0,0,0.169203925,2.844125814,59,flood
15,4,0,0,0,0,0,0,0.731386347,1.56684575,64,flood
15,5,0,0,0,0,0,0,0.895330375,1.499555538,52,flood
15,6,0,0,0,0,0,0,0.931112826,1.514033119,42,flood
15,7,0,0,0,0,0,0,0.970773122,1.4664815,36,flood
15,8,0,0,0,0,0,0,1.036525171,1.544117686,35,flood
15,9,0,0,0,0,0,0,1.116839722,1.592273861,36,flood
16,1,0,0,0,0,0,0,0.440269741,2.070501959,74,flood
16,10,0,0,0,0,0,0,0.899238924,1.59349724,25,flood
16,11,0,0,0,0,0,0,0.89468292,1.68638364,25,flood
16,12,0,0,0,0,0,0,1.019096746,1.698529393,28,flood
16,13,0,0,0,0,0,0,0.87633989,1.762466621,29,flood
16,14,0,0,0,0,0,0,1.008471538,1.888952794,34,flood
